MSE,MAE,RMSE,MAPE
0.0000075015,0.0011861585,0.0027388866,3.9977006250
0.0000053347,0.0011352290,0.0023096918,0.5772898403
0.0000038098,0.0010178600,0.0019518809,1.1662887133
0.0000065657,0.0011311470,0.0025623593,0.4697559390
0.0000050965,0.0010621433,0.0022575492,0.6693586285
0.0000029630,0.0008704823,0.0017213264,2.9900720493
0.0000058695,0.0012141569,0.0024227048,0.4481376632
0.0000051163,0.0010389127,0.0022619177,0.5782282940
0.0000042151,0.0009732827,0.0020530631,0.2913283713
0.0000053811,0.0010445353,0.0023197238,0.3719693345
